index,XGcrsMeters,YGcrsMeters,ZGcrsMeters,magnitude,distance,shadowFactor,declination,rightAscension,matrixX,matrixY,year,month,day,hour,minute,second
10855,3087846.27904234,42342180.7387408,-7016.54675126894,12.6081199213397,37105786.8733525,1,3.06321472395163e-05,1.58556170503815,472,257,2022,12,1,17,0,1.7
11158,3967629.4470519,32424076.0492111,-8435.51087882459,13.2110470670959,27185663.7756601,1,-1.03854076591873e-05,1.55858656993015,76,256,2022,12,1,17,0,1.7
14318,4242008.0637385,41999826.7691024,-9365.0066371663,12.6935048904003,36764387.895606,1,-3.29620599911238e-05,1.55430405709023,14,256,2022,12,1,17,0,1.7
15139,3172221.83204201,41653348.0948799,-7259.51498588579,13.2087280458836,36415859.1040142,1,2.45404533690989e-05,1.58352424378488,442,257,2022,12,1,17,0,1.7
22839,3095660.0733029,42011964.6806199,-6701.6305052127,13.0085844157443,36775491.5699443,1,3.94704764295887e-05,1.5854818324232,471,256,2022,12,1,17,0,1.7
28786,3901551.67746988,41977607.08311,-7112.51998315424,11.5952874284313,36738130.3170858,1,2.83263379501591e-05,1.56356006719153,149,256,2022,12,1,17,0,1.7
30580,3145248.4570158,45886645.0885454,-7590.6490575259,14.7031113171623,40649165.4103018,1,1.38386019700006e-05,1.58286227669562,432,257,2022,12,1,17,0,1.7
32483,3491855.91043877,19833120.0862743,-6800.11279109576,17.5747555242748,14593390.5154273,1,9.27175824868319e-05,1.58065378720331,400,255,2022,12,1,17,0,1.7
38187,3716501.03984098,39552537.910542,438829.720382909,17.9797731000899,34315105.6736068,1,0.0130262031650393,1.56844166057255,221,65,2022,12,1,17,0,1.7
40141,3570765.67142461,42010945.8246305,-14809.2542198592,11.7060737250232,36770565.1306526,1,-0.000181016461251683,1.57256245991066,281,259,2022,12,1,17,0,1.7
43463,4167471.46442571,41952807.2609195,-2647.91048340496,11.7939457763124,36716220.0236966,1,0.000149940985529128,1.55631273581238,43,254,2022,12,1,17,0,1.7
