index,XGcrsMeters,YGcrsMeters,ZGcrsMeters,magnitude,distance,shadowFactor,declination,rightAscension,matrixX,matrixY,year,month,day,hour,minute,second
10855,3090248.73426781,42342004.5358839,-7475.28199933031,12.6081202132787,37105791.861859,1,1.82872460401375e-05,1.5855051895315,471,257,2022,12,1,17,0,0.9
11158,3970433.09603272,32422904.6690087,-9014.77429000382,13.2109728950895,27184735.1989162,1,-3.1669594692157e-05,1.55849425816551,75,257,2022,12,1,17,0,0.9
14318,4244390.33348489,41999584.9478901,-9917.13447012539,12.6935051629873,36764392.5105538,1,-4.79618893664787e-05,1.55424756837578,13,257,2022,12,1,17,0,0.9
15139,3174652.27595192,41653164.9443818,-7679.56853624387,13.2087281629982,36415861.0679308,1,1.30238910860642e-05,1.58346589184326,441,257,2022,12,1,17,0,0.9
22839,3098035.19296348,42011792.3405625,-7324.05566332456,13.0085849714268,36775500.980659,1,2.25636377262867e-05,1.58542555103264,470,257,2022,12,1,17,0,0.9
28786,3904001.28227231,41977379.8332348,-7116.8878873853,11.5952874539705,36738130.7491682,1,2.82256292356492e-05,1.56350170945581,149,256,2022,12,1,17,0,0.9
30580,3146378.70353517,45884595.7872677,-7868.47728139317,14.7030126470203,40647318.4045617,1,7.02057292816601e-06,1.58284253823763,432,257,2022,12,1,17,0,0.9
32483,3495889.6073919,19833173.7765446,-7492.38081778998,17.5747896749594,14593619.9793108,1,4.53255551370181e-05,1.58039816647508,396,256,2022,12,1,17,0,0.9
38187,3718534.37973181,39552734.3086694,438850.198430697,17.9797992250201,34315518.5279124,1,0.0130266627145663,1.56839133886202,221,65,2022,12,1,17,0,0.9
40141,3573216.72972811,42010737.5939706,-14813.9085826948,11.7060737338273,36770565.2797354,1,-0.000181124870500591,1.57250411547988,281,259,2022,12,1,17,0,0.9
43463,4169919.52684251,41952564.5021888,-2652.48474482642,11.7939458023228,36716220.463488,1,0.000149834594925515,1.55625438074395,42,254,2022,12,1,17,0,0.9
